X250 G3 ('M7', 'M1') dur=5 cost=3593
X251 G3 ('M7', 'M1') dur=3 cost=2854
X252 G3 ('M7', 'M3') dur=5 cost=3525
X253 G3 ('M7', 'M5') dur=5 cost=3716
X254 G3 ('M7', 'M5') dur=3 cost=2868
X255 G3 ('M7',) dur=4 cost=2943
X256 G3 ('M7',) dur=2 cost=2369
X257 G3 ('M8', 'M2') dur=5 cost=4089
X258 G3 ('M8', 'M2') dur=7 cost=4935
X259 G3 ('M8',) dur=4 cost=3311
X260 G3 ('M8',) dur=6 cost=4157
X261 G3 ('M9', 'M6') dur=8 cost=6481
X262 G3 ('M9', 'M6') dur=7 cost=5698
X263 G3 ('M9',) dur=6 cost=5318
X264 G3 ('M9',) dur=4 cost=4536
X265 G3 ('M10', 'M6') dur=8 cost=6681
X266 G3 ('M10', 'M6') dur=7 cost=5898
X267 G3 ('M10',) dur=6 cost=5518
X268 G3 ('M10',) dur=4 cost=4736
X269 G3 ('M1', 'M4') dur=4 cost=2194
X270 G3 ('M1', 'M5') dur=4 cost=2194
X271 G3 ('M1', 'M7') dur=5 cost=2897
X272 G3 ('M1', 'M7') dur=4 cost=2323
X273 G3 ('M1',) dur=4 cost=2394
X274 G3 ('M1',) dur=3 cost=1655
X275 G3 ('M2', 'M8') dur=6 cost=4978
X276 G3 ('M2', 'M8') dur=8 cost=5824
X277 G3 ('M2',) dur=4 cost=3782
X278 G3 ('M2',) dur=6 cost=4628
X279 G3 ('M3', 'M4') dur=3 cost=2589
X280 G3 ('M3', 'M5') dur=3 cost=2589
X281 G3 ('M3',) dur=4 cost=2949
X282 G3 ('M3', 'M7') dur=3 cost=2621
X283 G3 ('M3',) dur=3 cost=2423
X284 G3 ('M3',) dur=2 cost=2050
X285 G3 ('M4', 'M1') dur=5 cost=2933
X286 G3 ('M4', 'M1') dur=4 cost=2194
X287 G3 ('M4', 'M3') dur=5 cost=2962
X288 G3 ('M4', 'M3') dur=4 cost=2589
X289 G3 ('M5', 'M1') dur=5 cost=2933
X290 G3 ('M5', 'M1') dur=4 cost=2194
X291 G3 ('M5', 'M3') dur=5 cost=2962
X292 G3 ('M5', 'M3') dur=4 cost=2589
X293 G3 ('M5', 'M7') dur=5 cost=2911
X294 G3 ('M5', 'M7') dur=4 cost=2338
X295 G3 ('M5',) dur=4 cost=2403
X296 G3 ('M5',) dur=2 cost=1555
X297 G3 ('M6', 'M9') dur=8 cost=5741
X298 G3 ('M6', 'M9') dur=6 cost=4959
X299 G3 ('M6', 'M10') dur=9 cost=5941
X300 G3 ('M6', 'M10') dur=7 cost=5159
X301 G3 ('M6',) dur=7 cost=5130
X302 G3 ('M6',) dur=5 cost=4348
X303 G3 ('M3',) dur=5 cost=3868
X304 G3 ('M7', 'M1') dur=5 cost=3062
X305 G3 ('M7', 'M1') dur=3 cost=2323
X306 G3 ('M7', 'M3') dur=4 cost=2995
X307 G3 ('M7', 'M3') dur=3 cost=2621
X308 G3 ('M7', 'M5') dur=3 cost=2338
X309 G3 ('M7',) dur=3 cost=2412
X310 G3 ('M7',) dur=2 cost=1838
X311 G3 ('M8', 'M2') dur=5 cost=4978
X312 G3 ('M8', 'M2') dur=7 cost=5824
X313 G3 ('M8',) dur=4 cost=4200
X314 G3 ('M8',) dur=6 cost=5046
X315 G3 ('M9', 'M6') dur=8 cost=5741
X316 G3 ('M9', 'M6') dur=6 cost=4959
X317 G3 ('M9',) dur=6 cost=4579
X318 G3 ('M9',) dur=4 cost=3796
X319 G3 ('M10', 'M6') dur=8 cost=5941
X320 G3 ('M10', 'M6') dur=6 cost=5159
X321 G3 ('M10',) dur=6 cost=4779
X322 G3 ('M10',) dur=4 cost=3996
X323 G4 ('M11',) dur=6 cost=8922
X324 G4 ('M11',) dur=5 cost=7572
X325 G4 ('M11',) dur=4 cost=6632
X326 G4 ('M11',) dur=3 cost=4889
X327 G5 ('M1', 'M4') dur=3 cost=2078
X328 G5 ('M1', 'M5') dur=4 cost=2642
X329 G5 ('M1', 'M5') dur=3 cost=2078
X330 G5 ('M1', 'M7') dur=4 cost=2546
X331 G5 ('M1', 'M7') dur=3 cost=2236
X332 G5 ('M1',) dur=3 cost=2138
X333 G5 ('M1',) dur=2 cost=1675
X334 G5 ('M2', 'M8') dur=6 cost=3488
X335 G5 ('M2', 'M8') dur=7 cost=4050
X336 G5 ('M2',) dur=3 cost=2431
X337 G5 ('M2',) dur=5 cost=2993
X338 G5 ('M3', 'M4') dur=4 cost=2138
X339 G5 ('M3', 'M5') dur=5 cost=2701
X340 G5 ('M3', 'M5') dur=4 cost=2138
X341 G5 ('M3',) dur=4 cost=2143
X342 G5 ('M3', 'M7') dur=5 cost=2517
X343 G5 ('M3', 'M7') dur=4 cost=2206
X344 G5 ('M3',) dur=3 cost=1860
X345 G5 ('M3',) dur=3 cost=1735
X346 G5 ('M4', 'M1') dur=4 cost=2642
X347 G5 ('M4', 'M3') dur=4 cost=2701
X348 G5 ('M4',) dur=2 cost=1688
X349 G5 ('M5', 'M1') dur=4 cost=2642
X350 G5 ('M5', 'M3') dur=4 cost=2701
X351 G5 ('M5', 'M7') dur=4 cost=2664
X352 G5 ('M5',) dur=3 cost=2252
X353 G5 ('M5',) dur=2 cost=1688
X354 G5 ('M6', 'M9') dur=7 cost=4673
X355 G5 ('M6', 'M9') dur=5 cost=4170
X356 G5 ('M6', 'M10') dur=8 cost=4873
X357 G5 ('M6', 'M10') dur=6 cost=4370
X358 G5 ('M6',) dur=6 cost=4185
X359 G5 ('M6',) dur=4 cost=3682
X360 G5 ('M3',) dur=4 cost=2773
X361 G5 ('M7', 'M1') dur=5 cost=2546
X362 G5 ('M7', 'M1') dur=4 cost=2083
X363 G5 ('M7', 'M3') dur=5 cost=2517
X364 G5 ('M7', 'M5') dur=5 cost=2664
X365 G5 ('M7', 'M5') dur=4 cost=2101
X366 G5 ('M7',) dur=3 cost=2045
X367 G5 ('M7',) dur=2 cost=1735
X368 G5 ('M8', 'M2') dur=6 cost=3488
X369 G5 ('M8', 'M2') dur=7 cost=4050
X370 G5 ('M8',) dur=5 cost=2834
X371 G5 ('M8',) dur=6 cost=3396
